Conta / Rubrica Financeira;Natureza;Mês 1;Mês 2;Mês 3;Mês 4;Mês 5;Mês 6;Mês 7;Total Consolidado (R$)
1. ENTRADAS DE CAIXA (RECEBIMENTOS);GRUPO;;;;;;;;
1.1 Faturamento Bruto de Medições;Receita Bruta;163442.02;277895.85;366373.12;245681.39;320416.90;286953.00;0.00;1660762.28
1.2 Retenção Técnica Contratual (5%);Dedução;8172.10;13894.79;18318.66;12284.07;16020.84;14347.65;0.00;83038.11
1.3 Faturamento Líquido de Medições;Receita Líquida;155269.92;264001.06;348054.46;233397.32;304396.06;272605.35;0.00;1577724.17
1.4 Recebimento Efetivo de Medições (D+15);Inflow;0.00;155269.92;264001.06;348054.46;233397.32;304396.06;272605.35;1577724.17
1.5 Devolução da Retenção Técnica (TRD M7);Inflow;0.00;0.00;0.00;0.00;0.00;0.00;83038.11;83038.11
TOTAL DE ENTRADAS DE CAIXA (A);Total Inflow;0.00;155269.92;264001.06;348054.46;233397.32;304396.06;355643.46;1660762.28
;;;;;;;;;
2. SAÍDAS DE CAIXA (DESEMBOLSOS);GRUPO;;;;;;;;
2.1 Equipe Técnica de Gestão (Eng/Mestre/TST);MO Gestão;29300.00;29300.00;29300.00;29300.00;29300.00;29300.00;0.00;175800.00
2.2 Vivência, Alimentação (16 op.) e Transporte;Vivência;23009.33;23009.33;23009.33;23009.33;23009.33;23009.33;0.00;138055.98
2.3 Mão de Obra de Campo (Serviços Físicos);MO Campo;23588.70;55068.46;79403.54;46208.08;67467.21;60171.36;0.00;331907.35
2.4 Materiais e Insumos Civis (Sinal à Vista);Material;8761.52;20454.00;29492.74;17163.00;25059.25;22349.36;0.00;123279.87
2.5 Materiais e Insumos Civis (Prazo D+30);Material;0.00;35046.06;81815.99;117970.97;68652.02;100237.01;89397.44;493119.49
2.6 Locação de Containers NR-18 e Sanitários;Equipamento;3191.66;6383.32;6383.32;6383.32;6383.32;6383.32;3191.66;38299.92
2.7 Contas de Consumo (Água, Luz, Internet);Canteiro;1175.00;2350.00;2350.00;2350.00;2350.00;2350.00;1175.00;14100.00
2.8 Tributos sobre Faturamento (8,65% NF);Tributos;0.00;14137.73;24037.99;31691.27;21251.44;27716.06;24821.43;143655.92
2.9 Custos Indiretos Centrais BDI (AC/Seguros);Indireto;16432.03;16432.03;16432.03;16432.03;16432.03;16432.03;0.00;98592.18
TOTAL DE SAÍDAS DE CAIXA (B);Total Outflow;105458.24;202180.93;292224.94;290508.00;259904.60;287948.47;118585.53;1556810.71
;;;;;;;;;
3. BALANÇO E SALDOS DE CAIXA;GRUPO;;;;;;;;
3.1 Saldo Operacional Líquido do Mês (A - B);Resultado;-105458.24;-46911.01;-28223.88;57546.46;-26507.28;16447.59;237057.93;103951.57
3.2 Saldo de Caixa Acumulado (Cenário Realista);Acumulado;-105458.24;-152369.25;-180593.13;-123046.67;-149553.95;-133106.36;103951.57;103951.57
3.3 Saldo Acumulado (Cenário Otimista c/ Adiantamento);Sensibilidade;60617.99;-27812.08;-97555.02;-81527.62;-149553.96;-133106.37;103951.56;103951.56
3.4 Saldo Acumulado (Cenário Estresse Atraso 30d);Sensibilidade;-105458.24;-307639.17;-444594.19;-471101.13;-382951.27;-437502.42;-251691.89;-251691.89
